epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.7722,1.74026,2.54625,1.99054,0.27108,0.30231,0.20185,0.06476,2.96475,3.68833,3.28661,0.000553444,0.000553444,0.000553444
2,135.423,1.79694,2.17733,2.04718,0.43141,0.42889,0.31721,0.11595,2.04486,2.97452,2.49729,0.00109996,0.00109996,0.00109996
3,200.557,1.77748,2.18278,2.01799,0.44341,0.46229,0.3603,0.14046,1.9888,2.46247,2.45323,0.00163731,0.00163731,0.00163731
4,263.547,1.73055,2.10472,1.99536,0.40639,0.45683,0.3297,0.13293,1.90571,2.30605,2.30929,0.00162574,0.00162574,0.00162574
5,326.156,1.69105,2.0639,1.96951,0.46225,0.42483,0.3695,0.14522,1.96802,2.18567,2.28091,0.00161199,0.00161199,0.00161199
6,391.035,1.64882,2.02816,1.94516,0.46998,0.38216,0.38941,0.15897,1.80134,2.1818,2.17914,0.00159824,0.00159824,0.00159824
7,454.506,1.60672,1.95931,1.87462,0.46993,0.5128,0.42267,0.17718,1.81883,2.06687,2.16857,0.00158448,0.00158448,0.00158448
8,518.54,1.61028,1.94509,1.87996,0.4933,0.50267,0.41663,0.17376,1.74442,2.13791,2.14629,0.00157073,0.00157073,0.00157073
9,584.309,1.59661,1.94283,1.87141,0.60031,0.4753,0.47151,0.20073,1.75169,1.98002,2.10496,0.00155698,0.00155698,0.00155698
10,647.291,1.60237,1.88713,1.86021,0.54682,0.50853,0.48084,0.20169,1.79268,1.9702,2.12219,0.00154323,0.00154323,0.00154323
11,712.376,1.57859,1.91477,1.86285,0.61817,0.47802,0.484,0.20017,1.78284,2.01388,2.13161,0.00152947,0.00152947,0.00152947
12,775.391,1.54456,1.83622,1.81716,0.47835,0.55398,0.47009,0.19758,1.75552,1.99615,2.08354,0.00151572,0.00151572,0.00151572
13,837.772,1.53389,1.84011,1.8177,0.53545,0.51588,0.47616,0.20506,1.80514,1.90582,2.12791,0.00150197,0.00150197,0.00150197
14,902.044,1.51716,1.79653,1.81805,0.65318,0.48709,0.50822,0.2207,1.68478,1.90683,2.04107,0.00148821,0.00148821,0.00148821
15,965.065,1.50987,1.78279,1.80259,0.51854,0.55056,0.47874,0.21522,1.68716,1.85581,2.02116,0.00147446,0.00147446,0.00147446
16,1029.58,1.50381,1.79765,1.80785,0.63509,0.5253,0.52545,0.23587,1.76704,1.84045,2.10774,0.00146071,0.00146071,0.00146071
17,1092.91,1.51565,1.77163,1.80238,0.5953,0.57645,0.51983,0.23084,1.71646,1.8187,2.0539,0.00144696,0.00144696,0.00144696
18,1156.88,1.50045,1.78868,1.79123,0.57903,0.50095,0.48126,0.2179,1.64192,1.85766,2.00162,0.0014332,0.0014332,0.0014332
19,1220.48,1.4716,1.76166,1.78166,0.54261,0.51276,0.47004,0.21299,1.68007,1.87763,1.98331,0.00141945,0.00141945,0.00141945
20,1283.71,1.48614,1.75351,1.75499,0.55688,0.53081,0.50153,0.22376,1.67915,1.88775,2.00634,0.0014057,0.0014057,0.0014057
21,1348.41,1.46461,1.74189,1.78283,0.60261,0.52404,0.5151,0.24077,1.64143,1.83466,1.99152,0.00139195,0.00139195,0.00139195
22,1411.54,1.48297,1.73834,1.77625,0.6087,0.50547,0.49766,0.22937,1.60378,1.81419,1.94206,0.00137819,0.00137819,0.00137819
23,1476.68,1.46915,1.73513,1.77115,0.63545,0.52638,0.5243,0.24405,1.57963,1.75768,1.94345,0.00136444,0.00136444,0.00136444
24,1540.53,1.4599,1.71779,1.76209,0.65318,0.53105,0.55136,0.25402,1.64127,1.74018,1.96398,0.00135069,0.00135069,0.00135069
25,1605.85,1.46056,1.68357,1.75335,0.59086,0.52765,0.50754,0.22827,1.63675,1.8237,1.93231,0.00133693,0.00133693,0.00133693
26,1669.14,1.46984,1.71825,1.7595,0.62065,0.53929,0.52126,0.24954,1.59963,1.76543,1.93607,0.00132318,0.00132318,0.00132318
27,1732.29,1.43686,1.6933,1.74536,0.5685,0.54913,0.54131,0.25387,1.5892,1.74205,1.93573,0.00130943,0.00130943,0.00130943
28,1796.9,1.41854,1.71385,1.7529,0.54266,0.56476,0.50128,0.24168,1.56759,1.78143,1.92543,0.00129568,0.00129568,0.00129568
29,1861.07,1.40018,1.6754,1.73624,0.59029,0.56271,0.53452,0.2651,1.56731,1.73715,1.91371,0.00128192,0.00128192,0.00128192
30,1926.27,1.41424,1.6634,1.7251,0.57496,0.57234,0.5253,0.24699,1.56999,1.74536,1.88435,0.00126817,0.00126817,0.00126817
31,1989.5,1.41965,1.6443,1.73231,0.58886,0.5403,0.53551,0.25808,1.51827,1.67866,1.85977,0.00125442,0.00125442,0.00125442
32,2055.18,1.41391,1.66079,1.71726,0.5387,0.58078,0.52339,0.2537,1.55381,1.71169,1.90984,0.00124066,0.00124066,0.00124066
33,2119.26,1.40679,1.63175,1.714,0.66219,0.50924,0.54863,0.26152,1.53065,1.69936,1.89377,0.00122691,0.00122691,0.00122691
34,2184.3,1.38553,1.63821,1.69656,0.58458,0.5809,0.52792,0.25695,1.49956,1.69726,1.85254,0.00121316,0.00121316,0.00121316
35,2247.82,1.38674,1.62852,1.70246,0.62728,0.58073,0.5605,0.26828,1.51663,1.66888,1.87322,0.00119941,0.00119941,0.00119941
36,2312.41,1.39973,1.63838,1.70888,0.62373,0.55025,0.53904,0.2652,1.52104,1.69051,1.87565,0.00118565,0.00118565,0.00118565
37,2375.56,1.37057,1.61206,1.6962,0.64154,0.58993,0.55672,0.27089,1.51293,1.65623,1.88029,0.0011719,0.0011719,0.0011719
38,2438.53,1.38117,1.60133,1.69971,0.65297,0.55664,0.56914,0.27455,1.52285,1.6343,1.85616,0.00115815,0.00115815,0.00115815
39,2503.15,1.38103,1.61481,1.71281,0.60588,0.56915,0.54077,0.27158,1.53008,1.65235,1.87058,0.0011444,0.0011444,0.0011444
40,2566.48,1.38168,1.6177,1.69561,0.61859,0.576,0.5709,0.28092,1.50549,1.66661,1.86391,0.00113064,0.00113064,0.00113064
41,2631.04,1.34925,1.58691,1.68317,0.64999,0.5778,0.57472,0.28141,1.51701,1.62463,1.86086,0.00111689,0.00111689,0.00111689
42,2694.18,1.3739,1.60516,1.69775,0.57521,0.62236,0.56197,0.28782,1.49137,1.59569,1.83922,0.00110314,0.00110314,0.00110314
43,2757.42,1.38143,1.588,1.69069,0.60829,0.55149,0.54514,0.26769,1.54246,1.67729,1.87932,0.00108938,0.00108938,0.00108938
44,2821.5,1.35871,1.57682,1.6755,0.6689,0.53868,0.57726,0.27616,1.54734,1.62484,1.85662,0.00107563,0.00107563,0.00107563
45,2884.56,1.37459,1.56849,1.67512,0.58302,0.60753,0.5672,0.28508,1.46364,1.64324,1.80653,0.00106188,0.00106188,0.00106188
46,2948.88,1.35309,1.56838,1.67102,0.6354,0.5975,0.58596,0.293,1.51384,1.56719,1.8473,0.00104813,0.00104813,0.00104813
47,3012.32,1.34697,1.554,1.67156,0.64523,0.61498,0.58893,0.29445,1.44341,1.56803,1.78298,0.00103437,0.00103437,0.00103437
48,3076.93,1.34353,1.55143,1.66289,0.66898,0.56881,0.58842,0.29531,1.494,1.56086,1.82752,0.00102062,0.00102062,0.00102062
49,3140.9,1.34392,1.55378,1.65724,0.61882,0.55033,0.55781,0.28453,1.48288,1.6159,1.83614,0.00100687,0.00100687,0.00100687
50,3204.47,1.33141,1.52834,1.6505,0.63005,0.55988,0.57272,0.28998,1.4653,1.55683,1.81392,0.000993115,0.000993115,0.000993115
51,3269.17,1.33442,1.51365,1.65211,0.64525,0.59031,0.57479,0.29465,1.47686,1.54687,1.82012,0.000979362,0.000979362,0.000979362
52,3332.24,1.33607,1.52464,1.6692,0.59232,0.59989,0.57895,0.30082,1.45678,1.54248,1.80429,0.00096561,0.00096561,0.00096561
53,3397.28,1.33237,1.51862,1.6602,0.61363,0.59436,0.57646,0.29636,1.47099,1.56851,1.79125,0.000951857,0.000951857,0.000951857
54,3460.99,1.34329,1.49691,1.66125,0.6318,0.58616,0.58236,0.29789,1.44716,1.55268,1.7794,0.000938104,0.000938104,0.000938104
55,3526.11,1.31602,1.51933,1.66586,0.64369,0.60158,0.60792,0.30941,1.46032,1.51864,1.78694,0.000924352,0.000924352,0.000924352
56,3589.55,1.30944,1.48385,1.64572,0.65767,0.59894,0.59796,0.29911,1.45752,1.55046,1.79803,0.000910599,0.000910599,0.000910599
57,3654.72,1.29965,1.48871,1.63538,0.6532,0.58431,0.5911,0.30417,1.45005,1.54082,1.78978,0.000896846,0.000896846,0.000896846
58,3718.36,1.30619,1.49507,1.63034,0.65977,0.59898,0.60626,0.32042,1.41439,1.48989,1.75091,0.000883093,0.000883093,0.000883093
59,3783.12,1.31598,1.48724,1.65023,0.67318,0.56551,0.60241,0.30825,1.40874,1.52738,1.75342,0.00086934,0.00086934,0.00086934
60,3846.18,1.27473,1.46872,1.6334,0.67201,0.60502,0.61665,0.31668,1.41123,1.47234,1.75839,0.000855588,0.000855588,0.000855588
61,3909.7,1.30837,1.46933,1.63028,0.68095,0.57766,0.62214,0.32171,1.40432,1.48216,1.75497,0.000841835,0.000841835,0.000841835
62,3974.53,1.27276,1.46652,1.63295,0.63684,0.58236,0.59738,0.31719,1.41491,1.4948,1.75316,0.000828082,0.000828082,0.000828082
63,4037.9,1.29034,1.43723,1.62573,0.66507,0.57295,0.60587,0.30869,1.44038,1.49651,1.77051,0.000814329,0.000814329,0.000814329
64,4102.37,1.30705,1.46159,1.63659,0.65618,0.63434,0.6205,0.32271,1.41792,1.44858,1.74682,0.000800577,0.000800577,0.000800577
65,4165.61,1.28788,1.43344,1.63489,0.6662,0.59011,0.61596,0.32356,1.42608,1.45684,1.76544,0.000786824,0.000786824,0.000786824
66,4229.82,1.27615,1.43997,1.60599,0.66312,0.60814,0.63191,0.33495,1.39027,1.45081,1.75041,0.000773071,0.000773071,0.000773071
67,4294,1.28712,1.45673,1.62428,0.66096,0.59318,0.6102,0.32592,1.3688,1.44644,1.71682,0.000759318,0.000759318,0.000759318
68,4357.8,1.28171,1.43751,1.61468,0.64783,0.58514,0.61026,0.32499,1.37337,1.45501,1.73744,0.000745566,0.000745566,0.000745566
69,4421.87,1.26186,1.40681,1.60687,0.66813,0.60281,0.61617,0.33657,1.35477,1.43394,1.72015,0.000731813,0.000731813,0.000731813
70,4485.63,1.25744,1.43049,1.60813,0.65853,0.62381,0.62583,0.33835,1.38038,1.42348,1.72484,0.00071806,0.00071806,0.00071806
71,4550.24,1.2548,1.4044,1.60162,0.68202,0.61822,0.64938,0.34331,1.37327,1.41463,1.72786,0.000704307,0.000704307,0.000704307
72,4614.01,1.25734,1.41224,1.59955,0.69257,0.60896,0.64764,0.34697,1.37392,1.40921,1.72505,0.000690555,0.000690555,0.000690555
73,4679.21,1.27478,1.39271,1.60147,0.68853,0.60574,0.64657,0.34115,1.38221,1.4006,1.71671,0.000676802,0.000676802,0.000676802
74,4742.81,1.24023,1.39975,1.58926,0.68008,0.61246,0.62931,0.34851,1.35199,1.38288,1.69747,0.000663049,0.000663049,0.000663049
75,4808.18,1.22341,1.38293,1.57848,0.7037,0.60342,0.66149,0.36108,1.34052,1.38656,1.7039,0.000649297,0.000649297,0.000649297
76,4872.32,1.23772,1.37302,1.58038,0.64011,0.65385,0.63613,0.35277,1.33954,1.38443,1.70255,0.000635544,0.000635544,0.000635544
77,4938.07,1.21893,1.3574,1.58902,0.65671,0.61326,0.63772,0.34968,1.34383,1.37739,1.70013,0.000621791,0.000621791,0.000621791
78,5002.14,1.25033,1.36642,1.58238,0.62973,0.62716,0.63372,0.35168,1.31833,1.38402,1.69049,0.000608038,0.000608038,0.000608038
79,5066.57,1.24025,1.37613,1.58884,0.69458,0.61468,0.64875,0.36074,1.31504,1.34613,1.68351,0.000594286,0.000594286,0.000594286
80,5129.84,1.23349,1.3502,1.57074,0.67422,0.61222,0.6374,0.3537,1.32815,1.38157,1.69075,0.000580533,0.000580533,0.000580533
81,5193.91,1.2451,1.36526,1.57283,0.68779,0.62211,0.64706,0.36398,1.32721,1.34769,1.67884,0.00056678,0.00056678,0.00056678
82,5259.98,1.22618,1.34837,1.57067,0.67744,0.62934,0.66218,0.3677,1.28864,1.33898,1.65515,0.000553027,0.000553027,0.000553027
83,5325.02,1.20438,1.32545,1.56189,0.72465,0.63827,0.67742,0.38483,1.28181,1.31505,1.64877,0.000539275,0.000539275,0.000539275
84,5390.79,1.19793,1.29524,1.55132,0.67637,0.65418,0.67009,0.37306,1.30655,1.30416,1.66626,0.000525522,0.000525522,0.000525522
85,5454.5,1.2214,1.31724,1.56602,0.67516,0.63832,0.67944,0.37795,1.31471,1.31447,1.66117,0.000511769,0.000511769,0.000511769
86,5519.75,1.20923,1.29575,1.55154,0.67827,0.65406,0.67405,0.38349,1.27892,1.28531,1.64312,0.000498016,0.000498016,0.000498016
87,5583.63,1.19358,1.30373,1.55599,0.69219,0.62131,0.67799,0.39059,1.26707,1.27637,1.63774,0.000484263,0.000484263,0.000484263
88,5649.78,1.16907,1.2808,1.53437,0.67744,0.65077,0.67855,0.38799,1.25621,1.26982,1.61825,0.000470511,0.000470511,0.000470511
89,5713.79,1.18041,1.27853,1.5431,0.67023,0.673,0.68492,0.40201,1.25226,1.26782,1.62165,0.000456758,0.000456758,0.000456758
90,5779.34,1.18093,1.25517,1.52868,0.68422,0.68357,0.68322,0.39541,1.26306,1.24969,1.62979,0.000443005,0.000443005,0.000443005
91,5843.6,1.17873,1.2816,1.52674,0.67154,0.68118,0.68632,0.3992,1.26006,1.24135,1.6283,0.000429253,0.000429253,0.000429253
92,5909.25,1.17871,1.30198,1.55269,0.70304,0.68448,0.70138,0.40837,1.25074,1.2343,1.62065,0.0004155,0.0004155,0.0004155
93,5973.56,1.17889,1.29282,1.53915,0.66783,0.65123,0.68131,0.40107,1.2348,1.24868,1.607,0.000401747,0.000401747,0.000401747
94,6041.9,1.16833,1.24645,1.52968,0.68565,0.67132,0.70329,0.41131,1.23056,1.23705,1.59981,0.000387994,0.000387994,0.000387994
95,6106.52,1.15194,1.26276,1.52695,0.70392,0.64693,0.69565,0.40977,1.22853,1.24458,1.60917,0.000374242,0.000374242,0.000374242
96,6172.59,1.15275,1.24213,1.52493,0.70587,0.67586,0.71124,0.41304,1.22958,1.2182,1.60076,0.000360489,0.000360489,0.000360489
97,6236.94,1.15436,1.24325,1.51091,0.6815,0.67391,0.7049,0.41885,1.21481,1.20377,1.58799,0.000346736,0.000346736,0.000346736
98,6302.54,1.14849,1.23285,1.51157,0.71363,0.67611,0.7178,0.42392,1.22469,1.18922,1.59355,0.000332983,0.000332983,0.000332983
99,6366.56,1.13939,1.21103,1.51055,0.71575,0.68483,0.7293,0.43281,1.20847,1.19108,1.58428,0.000319231,0.000319231,0.000319231
100,6432.33,1.13862,1.19659,1.49222,0.71552,0.66977,0.71853,0.4245,1.22072,1.19918,1.59369,0.000305478,0.000305478,0.000305478
101,6496.67,1.13788,1.20375,1.49703,0.69395,0.68903,0.71842,0.42954,1.21919,1.18712,1.59141,0.000291725,0.000291725,0.000291725
102,6562.16,1.12601,1.19004,1.50323,0.71241,0.6895,0.72923,0.43354,1.20836,1.1616,1.58259,0.000277972,0.000277972,0.000277972
103,6626.34,1.11953,1.18644,1.48827,0.71063,0.67537,0.72663,0.43104,1.20196,1.15339,1.56814,0.00026422,0.00026422,0.00026422
104,6691.27,1.11232,1.18275,1.48781,0.70433,0.67246,0.71792,0.4291,1.19653,1.17245,1.57513,0.000250467,0.000250467,0.000250467
105,6756.81,1.12389,1.19512,1.48772,0.70724,0.68323,0.72582,0.4368,1.19005,1.15262,1.56358,0.000236714,0.000236714,0.000236714
106,6821.97,1.11769,1.19499,1.48812,0.72483,0.69122,0.73462,0.44516,1.20447,1.13162,1.57213,0.000222961,0.000222961,0.000222961
107,6887.99,1.12287,1.17597,1.49334,0.70357,0.69665,0.73127,0.44919,1.18532,1.13423,1.56352,0.000209209,0.000209209,0.000209209
108,6952.6,1.11144,1.16077,1.47213,0.70181,0.70291,0.74169,0.45363,1.18315,1.12282,1.55456,0.000195456,0.000195456,0.000195456
109,7018.24,1.10263,1.16339,1.47919,0.72349,0.70777,0.74634,0.45665,1.17805,1.11125,1.55291,0.000181703,0.000181703,0.000181703
110,7081.99,1.08904,1.1374,1.46825,0.73896,0.7018,0.75145,0.45831,1.18142,1.09804,1.55968,0.00016795,0.00016795,0.00016795
111,7149.16,1.07309,1.0658,1.50985,0.71257,0.71735,0.75125,0.46582,1.16251,1.0894,1.53891,0.000154198,0.000154198,0.000154198
112,7213.17,1.05702,1.03435,1.48209,0.71447,0.72299,0.75234,0.4675,1.15821,1.08266,1.53699,0.000140445,0.000140445,0.000140445
113,7278.44,1.04115,1.01643,1.47861,0.73237,0.72046,0.75895,0.47264,1.1504,1.06856,1.529,0.000126692,0.000126692,0.000126692
114,7342.49,1.04957,1.01997,1.48502,0.71608,0.7393,0.76364,0.47999,1.14925,1.0578,1.52732,0.000112939,0.000112939,0.000112939
115,7408,1.04804,0.99146,1.4761,0.72334,0.73037,0.76889,0.47941,1.14471,1.0494,1.52664,9.91865e-05,9.91865e-05,9.91865e-05
116,7471.94,1.0362,1.00241,1.46669,0.73056,0.72105,0.76566,0.48035,1.13565,1.04887,1.51694,8.54337e-05,8.54337e-05,8.54337e-05
