epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.3499,1.82812,1.80407,2.45573,0.57919,0.49932,0.48043,0.19639,2.09211,1.76648,2.64799,0.00055152,0.00055152,0.00055152
2,108.492,1.61082,1.5802,2.11836,0.64963,0.58514,0.64086,0.30723,1.72862,1.3841,2.18407,0.00109153,0.00109153,0.00109153
3,161.703,1.56096,1.48805,2.0683,0.72725,0.60289,0.65884,0.28055,1.85503,1.37247,2.26698,0.00161582,0.00161582,0.00161582
4,214.716,1.52589,1.472,2.02477,0.7117,0.6219,0.67554,0.3192,1.72908,1.28447,2.13348,0.00159627,0.00159627,0.00159627
5,267.001,1.52129,1.40882,2.01845,0.78683,0.63346,0.70382,0.35282,1.71325,1.21283,2.14834,0.0015727,0.0015727,0.0015727
6,318.324,1.52117,1.40701,2.01296,0.72908,0.58636,0.62546,0.24205,2.15032,1.45067,2.59488,0.00154912,0.00154912,0.00154912
7,370.706,1.49901,1.3745,1.98607,0.70928,0.60397,0.6499,0.28892,1.91416,1.34716,2.41124,0.00152554,0.00152554,0.00152554
8,423.282,1.49497,1.37994,1.98776,0.7302,0.63142,0.69145,0.31886,1.82607,1.27486,2.23398,0.00150197,0.00150197,0.00150197
9,474.647,1.49182,1.3255,1.99294,0.75376,0.64465,0.70801,0.35006,1.70611,1.18117,2.11276,0.00147839,0.00147839,0.00147839
10,526.539,1.47133,1.29609,1.95958,0.66027,0.6904,0.69438,0.34289,1.67125,1.19311,2.06829,0.00145481,0.00145481,0.00145481
11,579.404,1.4517,1.27086,1.95254,0.72233,0.63499,0.69567,0.32906,1.82731,1.27646,2.21939,0.00143124,0.00143124,0.00143124
12,631.85,1.42482,1.22623,1.90894,0.77152,0.6443,0.72114,0.37366,1.64996,1.12274,2.0561,0.00140766,0.00140766,0.00140766
13,683.433,1.42212,1.22323,1.91263,0.79999,0.68267,0.76135,0.38393,1.65232,1.12458,2.02974,0.00138409,0.00138409,0.00138409
14,735.449,1.39554,1.19357,1.88664,0.79927,0.65498,0.74506,0.38893,1.57846,1.09318,1.9736,0.00136051,0.00136051,0.00136051
15,787.975,1.37748,1.18857,1.8818,0.75147,0.65367,0.71104,0.33964,1.79801,1.20084,2.23496,0.00133693,0.00133693,0.00133693
16,840.797,1.39303,1.17143,1.883,0.7455,0.63873,0.69829,0.34331,1.75215,1.16513,2.21971,0.00131336,0.00131336,0.00131336
17,892.429,1.37785,1.14073,1.86642,0.78326,0.68337,0.73774,0.35733,1.76737,1.0845,2.1804,0.00128978,0.00128978,0.00128978
18,945.473,1.37513,1.13509,1.87349,0.80439,0.71132,0.77027,0.40113,1.63128,1.01443,2.03388,0.00126621,0.00126621,0.00126621
19,998.209,1.34352,1.09813,1.83812,0.78238,0.68555,0.75508,0.38705,1.63218,1.09877,2.03727,0.00124263,0.00124263,0.00124263
20,1050.41,1.34494,1.08476,1.83611,0.81013,0.70607,0.78467,0.432,1.53888,0.98974,1.9414,0.00121905,0.00121905,0.00121905
21,1102.13,1.34257,1.08705,1.82353,0.81372,0.71039,0.79605,0.41489,1.65322,1.01649,2.0512,0.00119548,0.00119548,0.00119548
22,1155.4,1.32135,1.06628,1.82105,0.81061,0.69192,0.7738,0.43181,1.47627,1.01384,1.88128,0.0011719,0.0011719,0.0011719
23,1208.77,1.29283,1.03982,1.78962,0.83213,0.69052,0.77472,0.41845,1.57029,0.99837,1.96521,0.00114832,0.00114832,0.00114832
24,1262.46,1.29422,1.01089,1.788,0.80866,0.68828,0.77526,0.42249,1.54437,1.0237,1.93183,0.00112475,0.00112475,0.00112475
25,1314.3,1.28503,1.02928,1.78429,0.86511,0.69754,0.79971,0.4332,1.51052,0.99294,1.90492,0.00110117,0.00110117,0.00110117
26,1366.24,1.27571,1.01462,1.7701,0.86902,0.70997,0.81218,0.46509,1.49397,0.92883,1.9028,0.0010776,0.0010776,0.0010776
27,1418.97,1.26262,0.97256,1.7636,0.78976,0.72221,0.80023,0.4623,1.41632,0.94798,1.81938,0.00105402,0.00105402,0.00105402
28,1470.99,1.25016,0.9621,1.74181,0.79102,0.75192,0.81892,0.44873,1.51447,0.9168,1.8972,0.00103044,0.00103044,0.00103044
29,1522.51,1.2637,0.96285,1.74696,0.81751,0.70195,0.80808,0.44162,1.54126,0.94419,1.9691,0.00100687,0.00100687,0.00100687
30,1575.76,1.22084,0.92151,1.71476,0.82623,0.74062,0.82472,0.49073,1.4047,0.87812,1.78677,0.000983292,0.000983292,0.000983292
31,1628.6,1.2255,0.91215,1.72558,0.85274,0.75043,0.83583,0.48685,1.36284,0.91025,1.76285,0.000959716,0.000959716,0.000959716
32,1681.46,1.21917,0.93216,1.72524,0.83192,0.73717,0.83036,0.48146,1.36892,0.88535,1.74478,0.00093614,0.00093614,0.00093614
33,1732.82,1.20038,0.90064,1.70662,0.83878,0.70757,0.81755,0.46713,1.40577,0.91483,1.82796,0.000912563,0.000912563,0.000912563
34,1785.24,1.19246,0.8899,1.69918,0.86361,0.75291,0.84453,0.50089,1.37496,0.81489,1.79688,0.000888987,0.000888987,0.000888987
35,1837.73,1.2031,0.8872,1.69368,0.84327,0.75702,0.82378,0.48122,1.40755,0.8417,1.81119,0.000865411,0.000865411,0.000865411
36,1890.08,1.17871,0.87403,1.67619,0.85406,0.74604,0.83861,0.51199,1.3579,0.83609,1.77505,0.000841835,0.000841835,0.000841835
37,1941.49,1.18828,0.87046,1.69471,0.83201,0.77308,0.84103,0.50578,1.30391,0.81244,1.71829,0.000818259,0.000818259,0.000818259
38,1996.3,1.15971,0.8326,1.66886,0.84888,0.78366,0.85579,0.49304,1.40592,0.80545,1.81178,0.000794683,0.000794683,0.000794683
39,2050.82,1.15963,0.83191,1.66863,0.83856,0.78958,0.85611,0.51363,1.35904,0.76197,1.77034,0.000771107,0.000771107,0.000771107
40,2104.86,1.13629,0.80876,1.64167,0.85842,0.7346,0.84279,0.51839,1.32439,0.81126,1.725,0.00074753,0.00074753,0.00074753
41,2157.65,1.13488,0.82103,1.64779,0.85783,0.76969,0.85727,0.51998,1.31398,0.79342,1.69473,0.000723954,0.000723954,0.000723954
42,2209.13,1.13964,0.78546,1.64192,0.86442,0.75337,0.86779,0.53107,1.28464,0.75656,1.6857,0.000700378,0.000700378,0.000700378
43,2261.36,1.12213,0.79257,1.62088,0.83043,0.78086,0.85698,0.51177,1.36785,0.78798,1.75189,0.000676802,0.000676802,0.000676802
44,2313.65,1.11652,0.76939,1.61877,0.83125,0.80029,0.85685,0.52803,1.32365,0.75811,1.74842,0.000653226,0.000653226,0.000653226
45,2365.82,1.12071,0.78012,1.61733,0.83111,0.79732,0.87143,0.53904,1.27364,0.76758,1.65904,0.00062965,0.00062965,0.00062965
46,2417.27,1.10035,0.77616,1.61418,0.84273,0.80468,0.87878,0.52673,1.33239,0.7471,1.73441,0.000606074,0.000606074,0.000606074
47,2469.82,1.086,0.75769,1.60967,0.85236,0.80861,0.87486,0.54999,1.27569,0.73364,1.68136,0.000582497,0.000582497,0.000582497
48,2522.73,1.077,0.72917,1.58747,0.86723,0.81238,0.88726,0.55881,1.2306,0.71714,1.62976,0.000558921,0.000558921,0.000558921
49,2573.9,1.07228,0.72339,1.57902,0.8417,0.82177,0.88698,0.55791,1.24927,0.73011,1.64584,0.000535345,0.000535345,0.000535345
50,2626.06,1.08083,0.72117,1.58479,0.90314,0.78539,0.894,0.56721,1.21852,0.71544,1.60613,0.000511769,0.000511769,0.000511769
51,2678.64,1.05335,0.70733,1.56625,0.83183,0.83908,0.88929,0.5642,1.22738,0.6997,1.63347,0.000488193,0.000488193,0.000488193
52,2730.01,1.04444,0.697,1.56131,0.86606,0.82464,0.89085,0.56054,1.26044,0.68442,1.67846,0.000464617,0.000464617,0.000464617
53,2782.2,1.05825,0.68754,1.56245,0.85769,0.82345,0.89448,0.57145,1.21996,0.68769,1.62224,0.000441041,0.000441041,0.000441041
54,2834.61,1.03842,0.67873,1.55689,0.87508,0.82707,0.90885,0.58407,1.15635,0.66272,1.56174,0.000417464,0.000417464,0.000417464
55,2887.37,1.04748,0.68821,1.55552,0.89745,0.83631,0.91287,0.58785,1.16453,0.64142,1.57125,0.000393888,0.000393888,0.000393888
56,2938.71,1.01547,0.6618,1.53594,0.87817,0.85165,0.91329,0.58446,1.16546,0.63709,1.5812,0.000370312,0.000370312,0.000370312
57,2990.73,1.01269,0.6542,1.53327,0.8911,0.83236,0.90931,0.59073,1.15691,0.64737,1.55061,0.000346736,0.000346736,0.000346736
58,3043.35,1.01349,0.65435,1.53412,0.87339,0.8416,0.9095,0.60118,1.12365,0.62707,1.5203,0.00032316,0.00032316,0.00032316
59,3095.57,0.99612,0.63773,1.51909,0.89291,0.84766,0.91328,0.58815,1.15689,0.62697,1.55494,0.000299584,0.000299584,0.000299584
60,3146.68,0.98802,0.62166,1.49867,0.88071,0.85109,0.91912,0.59293,1.19089,0.65477,1.59009,0.000276008,0.000276008,0.000276008
61,3201.49,0.97771,0.62359,1.49986,0.86538,0.86933,0.91442,0.60423,1.12844,0.61971,1.53063,0.000252431,0.000252431,0.000252431
62,3255.59,0.97373,0.60793,1.49885,0.89593,0.8525,0.92151,0.59855,1.14494,0.62169,1.54673,0.000228855,0.000228855,0.000228855
63,3308.68,0.96737,0.61713,1.48869,0.91072,0.85594,0.92171,0.61032,1.10091,0.61232,1.51308,0.000205279,0.000205279,0.000205279
64,3359.91,0.95909,0.60123,1.48531,0.91291,0.84497,0.92719,0.60999,1.10682,0.60136,1.51084,0.000181703,0.000181703,0.000181703
65,3411.65,0.94695,0.59612,1.47222,0.91739,0.85226,0.9265,0.60845,1.11236,0.60403,1.5152,0.000158127,0.000158127,0.000158127
